fileCode,chapter,difficulty
1,1000,1
2,1004,2
3,875,2
4,800,1
5,779,3
6,598,2
7,500,1
8,444,2
9,350,3
10,254,3
11,13,2
12,20,3
13,40,3
14,51,2
15,100,1
16,99,2
17,99,3
18,101,2
19,100,1
20,118,2
21,126,2
22,126,2
23,127,3
24,150,3
25,141,3
26,110,2
27,105,1
28,112,1
29,128,2
30,156,2
31,156,3
32,300,3
33,327,2
34,420,3
35,458,2
36,1,1
37,2,3
38,3,1
39,73,3
40,5,1
41,5,2
42,6,1
43,7,3
44,8,3
45,94,1
46,9,3
47,164,1
48,10,2
49,65,3
50,12,2
51,14,1
52,15,2
53,29,2
54,218,1
55,62,1
56,34,3
57,37,2
58,41,1
59,46,2
60,69,1
61,47,1
62,51,1
63,54,2
64,58,3
65,78,2
66,81,3
67,81,1
68,84,2
69,87,2
70,90,2
71,94,2
72,95,1
73,106,3
74,107,2
75,113,3
76,116,3
77,121,1
78,131,2
79,133,2
80,139,2
81,96,3
82,151,2
83,157,2
84,161,3
85,170,2
86,167,3
87,160,1
88,174,3
89,177,2
90,177,3
91,179,3
92,218,2
93,181,2
94,182,1
95,184,1
96,183,1
97,211,3
98,211,2
99,213,2
100,213,1
101,200,1
102,195,2
103,187,2
104,216,1
105,204,2
106,219,3
107,223,2
108,225,1
109,222,3
110,230,3
111,233,1
112,233,2
113,237,2
114,238,2
115,244,3
116,246,3
117,251,2
118,252,1
119,256,3
120,263,2
121,264,3
122,268,1
123,273,1
124,276,3
125,279,2
126,281,2
127,282,3
128,284,2
129,290,1
130,294,2
131,296,2
132,298,1
133,272,3
134,259,2
135,260,2
136,302,1
137,303,3
138,303,2
139,304,3
140,310,1
141,314,1
142,319,2
143,321,2
144,322,1
145,327,2
146,328,1
147,329,3
148,330,2
149,331,2
150,332,3
151,333,2
152,342,2
153,343,3
154,253,1
155,350,2
156,354,3
157,358,3
158,361,2
159,363,2
160,366,1
161,366,2
162,369,2
163,374,1
164,376,1
165,379,1
166,383,2
167,385,2
168,387,1
169,390,2
170,390,3
171,393,2
172,397,3
173,397,2
174,399,1
175,398,3
176,398,1
177,400,2
178,390,1
179,404,2
180,407,3
181,410,1
182,412,1
183,415,2
184,422,3
185,426,2
186,428,1
187,430,2
188,430,2
189,431,3
190,432,2
191,440,3
192,441,3
193,441,2
194,442,3
195,448,2
196,333,2
197,451,2
198,453,1
199,454,3
200,455,3
201,461,3
202,461,1
203,462,3
204,463,2
205,472,1
206,473,3
207,473,2
208,473,3
209,476,2
210,478,1
211,497,2
212,483,2
213,485,3
214,485,2
215,489,2
216,489,1
217,490,3
218,490,2
219,491,3
220,501,3
221,502,1
222,505,3
223,510,2
224,513,1
225,516,2
226,520,3
227,523,2
228,528,2
229,529,3
230,532,1
231,533,2
232,539,2
233,600,2
234,541,3
235,542,3
236,542,2
237,543,1
238,544,3
239,547,2
240,548,3
241,550,1
242,550,2
243,601,1
244,604,2
245,556,1
246,557,1
247,610,3
248,560,3
249,562,2
250,564,2
251,565,3
252,565,1
253,568,3
254,569,1
255,610,2
256,618,2
257,572,2
258,573,2
259,573,3
260,619,2
261,620,3
262,576,2
263,576,1
264,577,3
265,578,3
266,583,2
267,588,3
268,622,2
269,623,3
270,590,1
271,594,2
272,598,3
273,625,3
274,628,2
275,631,3
276,633,2
277,633,1
278,634,3
279,640,2
280,643,3
281,644,1
282,648,2
283,650,3
284,653,2
285,654,3
286,654,2
287,655,2
288,656,1
289,657,3
290,661,2
291,664,2
292,670,2
293,674,3
294,676,3
295,678,1
296,679,2
297,682,3
298,684,3
299,684,1
300,690,2
301,696,2
302,696,3
303,699,2
304,700,1
305,703,2
306,705,2
307,702,3
308,710,3
309,711,1
310,712,2
311,718,2
312,721,2
313,723,1
314,726,3
315,729,2
316,730,3
317,731,1
318,731,3
319,742,2
320,735,2
321,744,2
322,744,1
323,746,3
324,750,1
325,754,2
326,757,2
327,758,3
328,761,2
329,763,3
330,766,2
331,767,2
332,771,2
333,775,2
334,778,1
335,779,3
336,780,2
337,782,2
338,782,3
339,783,2
340,784,1
341,790,2
342,793,3
343,794,3
344,795,1
345,799,2
346,803,3
347,804,2
348,806,1
349,806,3
350,812,2
351,816,1
352,817,2
353,818,2
354,819,3
355,821,2
356,822,3
357,827,1
358,828,3
359,833,2
360,834,2
361,837,3
362,840,1
363,842,1
364,845,2
365,848,3
366,850,2
367,851,1
368,851,2
369,856,2
370,844,2
371,860,3
372,862,3
373,863,2
374,866,3
375,871,2
376,872,3
377,879,3
378,883,1
379,888,2
380,889,1
381,892,2
382,894,2
383,896,1
384,900,1
385,900,2
386,901,3
387,862,2
388,903,2
389,905,3
390,905,1
391,907,2
392,908,1
393,912,1
394,915,2
395,917,2
396,920,3
397,923,2
398,924,1
399,921,2
400,928,3
401,931,2
402,934,3
403,937,2
404,940,2
405,942,2
406,946,3
407,948,1
408,951,3
409,954,2
410,956,3
411,957,3
412,957,1
413,962,2
414,963,2
415,966,1
416,967,1
417,971,2
418,974,2
419,975,2
420,979,3
421,983,2
422,986,3
423,985,2
424,989,1
425,992,2
426,993,3
427,994,3
428,995,2
429,997,2
430,999,2
431,1000,1
432,1000,3
